crate_id,github_owner,github_repo,functional_role,capability_set,api_intent,architectural_position,integration_pattern,key_inputs,key_outputs,external_interfaces,domain_tags
872703,denganjia,openapi-schema,Maps OpenAPI/Swagger documents to Rust structures.,"parse OpenAPI documents,convert to Rust structures,handle OpenAPI v2 and v3,manage reserved words,ensure type safety",library,adapter,dependency,"OpenAPI documents,JSON files",Rust structures,none,"openapi,swagger,serialization,rust,api"
1171587,konceptosociala,flatbox,Manages assets for the Flatbox engine.,"asset loading,asset caching,asset retrieval,asset organization",library,adapter,dependency,"asset files,metadata","loaded assets,organized assets",none,"assets,game engine,resource management"
1787413,StaticMCP,stdio_bridge,Provides a bridge server to serve StaticMCP files via stdio.,"serve-static-files,route-mcp-requests,translate-mcp-protocol,dynamic-file-mapping",runtime,adapter,standalone,"mcp.json,static-json-files",mapped-json-responses,stdio,"file-serving,protocol-translation,json,server"
1185299,UkoeHB,bevy_worldswap,Enables runtime swapping of Bevy Worlds in an application.,"world swapping,menu-world separation,loading-world separation",library,adapter,dependency,bevy world instances,swapped bevy world instances,none,"gamedev,bevy,world-management"
376827,Byron,google-apis-rs,Provides programmatic access to Google Policy Simulator API v1.,"simulate policy changes,fetch policy violation previews,manage replays,access folder-level data,interact with operations",library,integration,dependency,"policy configurations,resource identifiers","simulation results,violation previews,operation statuses",google cloud api,"policy,simulation,google cloud,iam"
1171681,PercyJW-2,ads7953-rs,Provides a driver for interfacing with the ADS7953 ADC.,"initialize ADC,read data,configure channels",library,adapter,dependency,"ADC signals,configuration parameters",digital data,embedded-hal,"embedded,hardware,adc,driver"
967588,quickwit-oss,tantivy,Provides column-oriented storage for Tantivy search engine.,"compact storage,random access,column type association,multi-type support,range queries",library,abstraction,dependency,"rows,columns,json values","columnar storage,serialized data",none,"storage,search,serialization,data-modeling"
1919223,bankusy,aesop,Generates and manages changelogs for projects.,"generate changelogs,parse commits,format output,manage versions,customize templates",CLI,tool,standalone,"commit messages,version tags","changelog files,formatted text",none,"changelog,versioning,documentation,cli"
1160834,meuter,oxydized-money-rs,Provides data types for handling and converting monetary amounts in specific currencies.,"currency handling,amount manipulation,conversion between currencies",library,abstraction,dependency,"monetary amounts,currency codes","converted monetary amounts,formatted currency values",none,"currency,finance,money"
263109,Byron,google-apis-rs,Provides programmatic access to Google Policy Troubleshooter service.,"policy analysis,access troubleshooting,API interaction",library,integration,dependency,"policy queries,access requests","troubleshooting results,policy analysis data",google cloud iam,"policy,access control,google cloud"
