crate_id,name,github_owner,github_repo,replacement,snippet
432502,imbl,jneem,imbl,imbl,"Immutable collection datatypes # imbl  [![crates.io](https://img.shields.io/crates/v/imbl)](https://crates.io/crates/imbl) ![tests](https://github.com/jneem/imbl/actions/workflows/ci.yml/badge.svg) [![docs.rs](https://docs.rs/imbl/badge.svg)](https://docs.rs/imbl/) [![coverage](https://coveralls.io/repos/github/jneem/imbl/badge.svg)](https://coveralls.io/github/jneem/imbl)  Blazing fast immutable collection datatypes for Rust. This is originally a fork of the [`im`](https://github.com/bodil/im-rs) crate, which is unmaintained. The `1.0` release of `imbl` is compatible with the `15.0.0` release of `im`, but with some fixes to `OrdMap` and `OrdSet`. Changes from `im` include:  * Bug fixes on OrdMap/OrdSet * Bug fixes on Vector * Significant performance improvements for HashMap/HashSet * Significant performance improvements for OrdMap/OrdSet * Supports using [`triomphe::Arc`](https://docs.rs/triomphe/latest/triomphe/struct.Arc.html) for the shared pointer implementation  ## Documentation  * [API docs](https://docs.rs/imbl/)  ## Minimum supported rust version  This crate supports rust 1.85 and later. As const generics become more useful, the minimum supported rust version will increase. ## Licence  Copyright 2017--2021 Bodil Stokke  Copyright 2021 Joe Neeman  This software is subject to the terms of the Mozilla Public License, v. 2.0."
370162,matrix_uri,,,ruma,"A crate for parsing Matrix URIs according to both matrix.to and MSC2312 # matrix_uri  | Coverage | Pipeline | | ------ | ------ | | [![coverage report](https://gitlab.com/famedly/company/backend/libraries/matrix_uri/badges/main/coverage.svg)](https://gitlab.com/famedly/company/backend/libraries/matrix_uri/-/commits/main) | [![pipeline status](https://gitlab.com/famedly/company/backend/libraries/matrix_uri/badges/main/pipeline.svg)](https://gitlab.com/famedly/company/backend/libraries/matrix_uri/-/commits/main) |  ## Deprecation Notice  Ruma has support for parsing both types of Matrix URIs as of version `0.5.0`, thus this crate is now deprecated. ## Original Description  A crate for building and parsing Matrix URIs according to both the [matrix.to specification](https://matrix.org/docs/spec/appendices#matrix-to-navigation) and also [MSC2312](https://github.com/matrix-org/matrix-doc/pull/2312) (`matrix://`). Optionally provides conversion to types from [`ruma_identifiers`](https://docs.rs/ruma-identifiers/0.17.4/ruma_identifiers/) with the `ruma` feature  ## Usage  ### Building  ```rust let uri = crate::MatrixUri::new(             crate::MatrixId::new(crate::IdType::UserId, String::from(""cute:some.url"")),             None,             None,             Some(vec![String::from(""headpat.services""), String::from(""cute.local"")]),             Some(crate::MatrixUriAction::Chat),         )         .unwrap();  println!(""{} with {}"", uri.action().unwrap().to_string(), uri.mxid.to_string()); // `chat with @cute:some.url` println!(""{}"", uri.matrix_uri_string()); // `matrix:u/cute%3Asome.url?action=chat&via=headpat.services&via=cute.local` println!(""{}"", uri.matrix_to_string()); // `https://matrix.to/#/%40cute%3Asome.url?action=chat&via=headpat.services&via=cute.local` ```  ### Parsing  ```rust let uri = matrix_uri::MatrixUri::from_str(""matrix:u/her:example.org?action=chat"").unwrap();  println!(""{} - {:?}"", uri.mxid.to_string(), uri.action().unwrap()); // `@her:example.org - Chat` ```  ## Docs  Can be viewed from source by running `cargo doc --open`  ## Pre-commit usage  1. If not installed, install with your package manager, or `pip install --user pre-commit` 2. Run `pre-commit autoupdate` to update the pre-commit config to use the newest template 3. Run `pre-commit install` to install the pre-commit hooks to your local environment"
426,websocket,websockets-rs,rust-websocket,tungstenite,"[deprecated] A WebSocket (RFC6455) library for Rust. Rust-WebSocket [![Build Status](https://travis-ci.com/websockets-rs/rust-websocket.svg?branch=master)](https://travis-ci.com/websockets-rs/rust-websocket) [![docs.rs](https://docs.rs/websocket/badge.svg)](https://docs.rs/websocket) ==============   |**Note: Maintainership of this project is slugglish. You may want to use [tungstenite](https://crates.io/crates/tungstenite) or [tokio-tungstenite](https://crates.io/crates/tokio-tungstenite) instead.**| |----|   Rust-WebSocket is a WebSocket ([RFC6455](https://datatracker.ietf.org/doc/rfc6455/)) library written in Rust. **Note that this particular library is based on obsolete dependencies (Hyper 0.10, Tokio 0.1), so is a poor choice for new projects. You are adviced to use other Websocket libraries.**  Rust-WebSocket provides a framework for dealing with WebSocket connections (both clients and servers). The library is currently in an experimental state, but provides functionality for both normal and secure WebSockets, a message level API supporting fragmentation, a data frame level API, and the ability to extend and customize behaviour."
402275,molybdenum,gfannes,molybdenum,mo,"`mo` is better, but difficult to search on the internet. * Better detection of binary files * Rollback when writing replacement file fails * Improved testing   * More and better unit tests   * Acceptance tests for all common use cases   * Performance tests and some reporting around this * Binary releases on [github](https://github.com/gfannes/molybdenum) * Improved color scheme for people using a light background theme * Add changelog for versions before v0.1.6. ## Performance  ### Count all files in a folder  ``` Scenario: count all files   Running `mo -l -u -U -a | wc`     Elapsed time: 0:00.29     Output:  184675  187146 16959297    Running `rg --files -uu -a | wc`     Elapsed time: 0:00.15     Output:  184675  187146 16589947    Running `ag -l -uu -a | wc`     Elapsed time: 0:00.66     Output:  184675  187146 16589947 ```  ### Search for word in C++ source code  ``` Scenario: search for word `test` in .cpp files in subfolder `core` where path contains /auro/   Running `mo -C core -e cpp -f /auro/ -w -p test -l | wc`     Elapsed time: 0:00.03     Output:     165     165    9008    Running `rg -t cpp --files core | rg /auro/ | rg '.cpp$' | tr '\n' '\0' | xargs -0 rg -i -w test -l | wc`     Elapsed time: 0:00.01     Output:     165     165    9008    Running `ag --cpp -l . core | ag /auro/ | ag '.cpp$' | tr '\n' '\0' | xargs -0 ag -w test -l | wc`     Elapsed time: 0:00.05     Output:     165     165    9008  ```  I don't know how I can accomplish this scenario with `ag` and `rg` in a single command without relying on `xargs` and `tr`. ## Changelog  ### v0.1.6  * When stdout is non-TTY, a more compact and useful output format is used * Added `.out` extension to the list of binary files  ### v0.1.7  * Filename pattern matching with `-f` and `-F` is now case-sensitive only when `-s` is set * Added primitive method to only output the matches via `-m`. This should be replaced with proper Regex submatch support. ### v0.1.8  * Support for working with capture groups. When `-P %` is specified, the replacement string specified via `-r` will substitute capture groups for all occurences of `%` or `%[0-9]`. * Support for compact output. * Rework of colored output: when not specified, the output stream is checked. If this is a TTY, no color output will be produced."
265032,gladis_proc_macro,gagath,gladis,gtk4-macros,"DEPRECATED. Use gtk-rs's CompositeTemplate derive macro instead. <!-- SPDX-FileCopyrightText: 2022 Agathe Porte <microjoe@microjoe.org>  SPDX-License-Identifier: Apache-2.0 OR MIT -->  # gladis  ![Maintenance status is ""deprecated""](https://img.shields.io/badge/maintenance-deprecated-red.svg) [![Build](https://github.com/gagath/gladis/actions/workflows/ci.yml/badge.svg?branch=main)](https://github.com/gagath/gladis/actions/workflows/ci.yml) [![Latest version](https://img.shields.io/crates/v/gladis.svg)](https://crates.io/crates/gladis) [![Documentation](https://docs.rs/gladis/badge.svg)](https://docs.rs/gladis) [![License](https://img.shields.io/crates/l/gladis.svg)](#License)  Easily import Glade-generated UI files into Rust code. **This crate is DEPRECATED. Use [CompositeTemplate](https://gtk-rs.org/gtk4-rs/stable/latest/book/composite_templates.html) from [gtk3-macros](https://crates.io/crates/gtk3-macros) or [gtk4-macros](https://crates.io/crates/gtk4-macros) official GTK crates.**  ## Usage  In order to use Gladis, you have to add the following dependencies into your project's `Cargo.toml` file:  ```toml [dependencies] gladis = ""2.1.2"" ```  After this is done, you can enjoy the Gladis derive! ```rust #[derive(Gladis, Clone)] pub struct Window {     pub window: gtk::ApplicationWindow,     pub label: gtk::Label, }  impl Window {     pub fn new() -> Self {         Self::from_resource(""/dev/null/hello_builder/window.ui"").unwrap()     } } ```  Without Gladis, you would have to manually parse each of the Glade entries."
1889637,minipaste,MoAlyousef,minipaste,minipaste,"A minimal paste macro for Rust # minipaste  A minimalist alternative to the [paste crate](https://crates.io/crates/paste), which is no longer maintained and may flag a `cargo audit/vet` warning. It does not handle case conversion! Usage is similar to the `paste` crate: ```toml minipaste = ""0.1"" ```  ```rust use minipaste::paste; paste! {     // Defines a const called `QRST`. const [<Q R S T>]: &str = ""success!""; }  fn main() {     assert_eq!(         paste! { [<Q R S T>].len() },         8,     ); } ```"
265031,gladis,gagath,gladis,gtk4-macros,"DEPRECATED. Use gtk-rs's CompositeTemplate derive macro instead. <!-- SPDX-FileCopyrightText: 2022 Agathe Porte <microjoe@microjoe.org>  SPDX-License-Identifier: Apache-2.0 OR MIT -->  # gladis  ![Maintenance status is ""deprecated""](https://img.shields.io/badge/maintenance-deprecated-red.svg) [![Build](https://github.com/gagath/gladis/actions/workflows/ci.yml/badge.svg?branch=main)](https://github.com/gagath/gladis/actions/workflows/ci.yml) [![Latest version](https://img.shields.io/crates/v/gladis.svg)](https://crates.io/crates/gladis) [![Documentation](https://docs.rs/gladis/badge.svg)](https://docs.rs/gladis) [![License](https://img.shields.io/crates/l/gladis.svg)](#License)  Easily import Glade-generated UI files into Rust code. **This crate is DEPRECATED. Use [CompositeTemplate](https://gtk-rs.org/gtk4-rs/stable/latest/book/composite_templates.html) from [gtk3-macros](https://crates.io/crates/gtk3-macros) or [gtk4-macros](https://crates.io/crates/gtk4-macros) official GTK crates.**  ## Usage  In order to use Gladis, you have to add the following dependencies into your project's `Cargo.toml` file:  ```toml [dependencies] gladis = ""2.1.2"" ```  After this is done, you can enjoy the Gladis derive! ```rust #[derive(Gladis, Clone)] pub struct Window {     pub window: gtk::ApplicationWindow,     pub label: gtk::Label, }  impl Window {     pub fn new() -> Self {         Self::from_resource(""/dev/null/hello_builder/window.ui"").unwrap()     } } ```  Without Gladis, you would have to manually parse each of the Glade entries."
493681,reqwest-cache,,,http-cache-reqwest,"reqwest-middleware based in-memory HTTP caching middleware # Reqwest cache  [![pipeline status][badge-pipeline-img]][badge-pipeline-url] [![coverage report][badge-coverage-img]][badge-coverage-url] [![docs main][badge-docs-main-img]][badge-docs-main-url]  [badge-pipeline-img]: https://gitlab.com/famedly/company/backend/libraries/reqwest-cache/badges/main/pipeline.svg [badge-pipeline-url]: https://gitlab.com/famedly/company/backend/libraries/reqwest-cache/-/commits/main [badge-coverage-img]: https://gitlab.com/famedly/company/backend/libraries/reqwest-cache/badges/main/coverage.svg [badge-coverage-url]: https://gitlab.com/famedly/company/backend/libraries/reqwest-cache/-/commits/main [badge-docs-main-img]: https://img.shields.io/badge/docs-main-blue [badge-docs-main-url]: https://famedly.gitlab.io/company/backend/libraries/reqwest-cache/project_name/index.html  **DEPRECATION NOTICE:** This crate is unmaintained. Use [http-cache-reqwest](https://crates.io/crates/http-cache-reqwest) instead, which also has more features. `reqwest-cache` is a crate based on [`reqwest-middleware`](https://docs.rs) which adds response caching based on HTTP cache headers. ## Pre-commit usage  1. If not installed, install with your package manager, or `pip install --user pre-commit` 2. Run `pre-commit autoupdate` to update the pre-commit config to use the newest template 3."
326378,mz_rusoto_service_quotas,MaterializeInc,rusoto,aws-sdk-rust,"AWS SDK for Rust - Service Quotas @ 2019-06-24  # Rusoto ServiceQuotas Rust SDK for Service Quotas  ⚠️ **This is the [Materialize](https://materialize.com) fork of Rusoto.** ⚠️  Rusoto has been [unmaintained for several months](https://github.com/rusoto/rusoto/issues/1651). We expect that Amazon will soon announce plans to take over Rusoto or release an official Rust SDK. In the meantime, we are performing a minimal amount of maintenance. We will accept dependency bumps and obvious bug fixes. Crates are published with an ""mz"" prefix, as in `mz_rusoto_core`. ---  You may be looking for:  * [An overview of Rusoto][rusoto-overview] * [AWS services supported by Rusoto][supported-aws-services] * [API documentation][api-documentation] * [Getting help with Rusoto][rusoto-help]  ## Requirements  Rust stable or beta are required to use Rusoto."
325535,mz_rusoto_acm_pca,MaterializeInc,rusoto,aws-sdk-rust,"AWS SDK for Rust - AWS Certificate Manager Private Certificate Authority @ 2017-08-22  # Rusoto AcmPca Rust SDK for AWS Certificate Manager Private Certificate Authority  ⚠️ **This is the [Materialize](https://materialize.com) fork of Rusoto.** ⚠️  Rusoto has been [unmaintained for several months](https://github.com/rusoto/rusoto/issues/1651). We expect that Amazon will soon announce plans to take over Rusoto or release an official Rust SDK. In the meantime, we are performing a minimal amount of maintenance. We will accept dependency bumps and obvious bug fixes. Crates are published with an ""mz"" prefix, as in `mz_rusoto_core`. ---  You may be looking for:  * [An overview of Rusoto][rusoto-overview] * [AWS services supported by Rusoto][supported-aws-services] * [API documentation][api-documentation] * [Getting help with Rusoto][rusoto-help]  ## Requirements  Rust stable or beta are required to use Rusoto."
